Признак,Importance_mean,Importance_std
loan_percent_income,0.05692814787960611,0.0010928915681752535
person_home_ownership,0.04232885556057584,0.0016183479599675827
loan_grade,0.03653191082791172,0.001698110283940004
person_income,0.02681474212326912,0.0019084954331951094
loan_intent,0.014864520883672572,0.0012178992973145954
loan_int_rate,0.013677024120562908,0.0016240257394664725
person_emp_length,0.0032342472823515102,0.00044676088452710953
loan_amnt,0.0026527886666273927,0.0005091598984575873
rate_deviation,0.00042057251438072375,0.0003287879824540916
cb_person_default_on_file,-6.61010219346947e-05,0.0003587805876007259
