Признак,Importance_mean,Importance_std
loan_percent_income,0.05691806961680582,0.001088570048040164
person_home_ownership,0.04232911748825646,0.0016155038551884052
loan_grade,0.03652977968905611,0.0016986374603789698
person_income,0.026807318854685524,0.00191829410012702
loan_intent,0.014864116086348078,0.0012216118988021545
loan_int_rate,0.013686143966168528,0.0016233842980657596
person_emp_length,0.003227407398147364,0.00044683198708054964
loan_amnt,0.002650133672410715,0.0005112677332845682
rate_deviation,0.000418608056776415,0.00032958191072266575
cb_person_default_on_file,-6.791070409135624e-05,0.000358047850661164
