Model,ROC-AUC,Accuracy,Precision,Recall,F1-Score,Specificity
LightGBM,0.955171315585352,0.9265069485889675,0.704660587639311,0.832934131736527,0.7634467618002195,0.9420419524803658
XGBoost,0.9547292828598694,0.9311109216471992,0.725418410041841,0.8305389221556886,0.774427694025684,0.9478079331941545
CatBoost,0.9440394486898556,0.9129508056952852,0.6569908079342042,0.8131736526946107,0.7267861921327268,0.9295158564469629
Random Forest,0.9370649991398057,0.9305141103248359,0.7504393673110721,0.767065868263473,0.7586615339058336,0.9576498657918282
