Feature,Importance
loan_percent_income,0.2715308857819466
loan_int_rate,0.16180720617862834
loan_grade_D,0.13729107145202432
person_income,0.08673824984263907
person_home_ownership_RENT,0.06905797448676415
loan_amnt,0.04502092974137875
person_home_ownership_MORTGAGE,0.036150739927147645
loan_grade_A,0.030895208256345973
loan_grade_C,0.019378437749714088
loan_grade_E,0.016703817339916913
cb_person_default_on_file_Y,0.015798833728420225
person_home_ownership_OWN,0.01522464366479179
loan_intent_HOMEIMPROVEMENT,0.014645283427633342
cb_person_default_on_file_N,0.014546128993373621
person_emp_length,0.013220244721706175
loan_intent_VENTURE,0.009373380152656423
loan_grade_B,0.008176761155506715
person_age,0.007550334165883815
loan_intent_MEDICAL,0.0068953939199685454
loan_intent_DEBTCONSOLIDATION,0.006605067804599657
cb_person_cred_hist_length,0.00563494292812304
loan_intent_EDUCATION,0.0042344469654656165
loan_intent_PERSONAL,0.0028384450734458932
loan_grade_F,0.0006141539191648561
person_home_ownership_OTHER,5.55088673188941e-05
loan_grade_G,1.1909755435612915e-05
