Признак,Importance_mean,Importance_std
person_home_ownership,0.04102705117650185,0.0016817542801883464
loan_grade,0.0407921050234753,0.0017871368549698344
loan_percent_income,0.039419711129485814,0.0008910633854524706
person_income,0.019259197084506872,0.001730536577382495
loan_intent,0.014071109198245358,0.0011739553974756797
rate_burden,0.011777268606241231,0.0015635041268452522
loan_int_rate,0.008520733659433333,0.0014402824017421892
person_emp_length,0.0026110975186519835,0.00032300068390414
loan_amnt,0.0017631751111556126,0.0004439761930447596
cb_person_default_on_file,0.00017254485958001498,0.0003167911501651802
