Ранг,Признак,Importance,Importance (%)
1,loan_percent_income,0.2834482160634528,28.344821606345278
2,loan_grade,0.2263273746395494,22.632737463954943
3,loan_int_rate,0.1576494337346783,15.76494337346783
4,person_income,0.11190547366099111,11.19054736609911
5,person_home_ownership,0.10109748474022019,10.10974847402202
6,loan_amnt,0.04907553308498441,4.907553308498441
7,loan_intent,0.03591642014416791,3.591642014416791
8,person_emp_length,0.018500396397758523,1.8500396397758523
9,cb_person_default_on_file,0.016079667534197484,1.6079667534197484
