Ранг,Признак,Признак (англ),F-статистика,p-value,Значимость
1,Процент дохода на кредит (%),loan_percent_income,9792.866531730166,0.0,***
2,Процентная ставка (%),loan_int_rate,7611.7067321383765,0.0,***
3,Доход,person_income,1744.2933180829284,0.0,***
4,Сумма кредита,loan_amnt,1259.1361746454238,6.794856302288683e-273,***
5,Стаж работы (лет),person_emp_length,597.4899526234268,2.6819540145160614e-131,***
6,Длина кредитной истории (лет),cb_person_cred_hist_length,0.5384340619281023,0.4630853609521046,ns
7,Возраст,person_age,0.07482147431746307,0.7844428452799166,ns
